Sold To ID,Sold To Customer,Ship To ID,Ship To Customer,Ship To Address,Ship To City,Ship To State,Ship To Zip,Full Address,Latitude,Longitude,Total Orders,Sold_To_AccountId_Alt,Ship_To_AccountId_Alt,Cluster
201100,ISD #6051 GOODHUE CO EDUCATIO,201100,ISD #6051 GOODHUE CO EDUCATIO,395 Guernsey Ln,Red Wing,MN,55066,"395 Guernsey Ln Red Wing MN, 55066",44.536762,-92.51705,4,201100,201100,16
201902,3M COMPANY NEW ULM,401715,3M COMPANY BLDG 01,1700 N Minnesota St,New Ulm,MN,56073,"1700 N Minnesota St New Ulm MN, 56073",44.330891,-94.47403,8,201902,401715,18
204224,MASON BROTHERS,458793,ABBYS BAKERY,421 4th St NE,Wadena,MN,56482,"421 4th St NE Wadena MN, 56482",46.447835,-95.139024,4,204224,458793,4
203218,ABOVE ALL CLEANING INC,203218,ABOVE ALL CLEANING INC,57027 222nd St,Austin,MN,55912,"57027 222nd St Austin MN, 55912",43.67492,-92.908205,24,203218,203218,1
272219,AITKIN HEALTH SERVICES,272219,AITKIN HEALTH SERVICES,301 Minnesota Ave S,Aitkin,MN,56431,"301 Minnesota Ave S Aitkin MN, 56431",46.52663,-93.70795,4,272219,272219,13
202577,ALOMERE HEALTH STOREROOM,466210,ALEX CLINIC STOREROOM,610 30th Ave W,Alexandria,MN,56308,"610 30th Ave W Alexandria MN, 56308",45.862346,-95.386214,14,202577,466210,3
302549,ALL SAINTS ACADEMY ST CLOUD,302549,ALL SAINTS ACADEMY ST CLOUD,1215 11th Ave N,Saint Cloud,MN,56303,"1215 11th Ave N Saint Cloud MN, 56303",45.569696,-94.175617,4,302549,302549,11
346629,All Saints Catholic School,346629,ALL SAINTS CATHOLIC SCHOOL,N8566 STATE RD 49,Berlin,WI,54923,"N8566 STATE RD 49 Berlin WI, 54923",43.9437,-88.94493,4,346629,346629,8
202577,ALOMERE HEALTH STOREROOM,202577,ALOMERE HEALTH STOREROOM,111 17th Ave E,Alexandria,MN,56308,"111 17th Ave E Alexandria MN, 56308",45.873845,-95.37609,16,202577,202577,3
201557,ANNANDALE CARE CENTER,201557,ANNANDALE CARE CENTER,500 PARK ST E,Annandale,MN,55302,"500 PARK ST E Annandale MN, 55302",45.267237,-94.115179,6,201557,201557,11
201557,ANNANDALE CARE CENTER,484041,ANNANDALE CARE CENTER HOUSEKEE,500 PARK ST E,Annandale,MN,55302,"500 PARK ST E Annandale MN, 55302",45.267237,-94.115179,11,201557,484041,11
201557,ANNANDALE CARE CENTER,484042,ANNANDALE CARE CENTER LAUNDRY,500 PARK ST E,Annandale,MN,55302,"500 PARK ST E Annandale MN, 55302",45.267237,-94.115179,4,201557,484042,11
263488,ANYTIME FITNESS,263488,ANYTIME FITNESS,301 30th Ave W,Alexandria,MN,56308,"301 30th Ave W Alexandria MN, 56308",45.863028,-95.380235,6,263488,263488,3
272853,ANYTIME FITNESS,272853,ANYTIME FITNESS,225 2nd Ave N,Sauk Rapids,MN,56379,"225 2nd Ave N Sauk Rapids MN, 56379",45.591806,-94.168311,7,272853,272853,11
282403,APPLE LANE COMM. CHILD CARE CE,282403,APPLE LANE COMM. CHILD CARE CE,1900 8th Ave NW,Austin,MN,55912,"1900 8th Ave NW Austin MN, 55912",43.676695,-93.002076,7,282403,282403,1
202610,APPLETON MUNICIPAL HOSPITAL,202610,APPLETON MUNICIPAL HOSPITAL,30 S Behl St,Appleton,MN,56208,"30 S Behl St Appleton MN, 56208",45.199757,-96.00862,15,202610,202610,17
209648,ARROWHEAD PROMOTIONS CO. INC,209648,ARROWHEAD PROMOTIONS CO. INC,1105 SE 8th St,Grand Rapids,MN,55744,"1105 SE 8th St Grand Rapids MN, 55744",47.223359,-93.511735,7,209648,209648,7
304478,ASHBY LIVING CENTER,304478,ASHBY LIVING CENTER,112 Iverson Ave,Ashby,MN,56309,"112 Iverson Ave Ashby MN, 56309",46.09065,-95.81496,7,304478,304478,3
200723,ASSEMBLY OF GOD CHURCH,200723,ASSEMBLY OF GOD CHURCH,3821 Abbott Dr,Willmar,MN,56201,"3821 Abbott Dr Willmar MN, 56201",45.08784,-95.040669,7,200723,200723,0
293020,AURORA PHARMACEUTICAL,293020,AURORA PHARMACEUTICAL,1196 Highway 3 S,Northfield,MN,55057,"1196 Highway 3 S Northfield MN, 55057",44.447551,-93.174501,6,293020,293020,16
200344,BARRETT CARE CENTER,200344,BARRETT CARE CENTER,800 Spruce Ave,BARRETT,MN,56311,"800 Spruce Ave BARRETT MN, 56311",45.906339,-95.888901,7,200344,200344,3
281322,BELGRADE NURSING HOME,281322,BELGRADE NURSING HOME,103 School St,Belgrade,MN,56312,"103 School St Belgrade MN, 56312",45.448901,-95.007352,4,281322,281322,0
201962,ISD #716 BELLE PLAINE SCHOOL,468985,BELLE PLAINE HIGH SCHOOL,220 S Market St,Belle Plaine,MN,56011,"220 S Market St Belle Plaine MN, 56011",44.61927,-93.77223,9,201962,468985,15
265502,BETHANY EVANGELICAL FREE CHURC,265502,BETHANY EVANGELICAL FREE CHURC,3936 County Road B,La Crosse,WI,54601,"3936 County Road B La Crosse WI, 54601",43.858695,-91.199009,4,265502,265502,14
234917,BETHEL NURSING HOME,234917,BETHEL NURSING HOME,614 S Rock Ave,Viroqua,WI,54665,"614 S Rock Ave Viroqua WI, 54665",43.550994,-90.891022,4,234917,234917,2
308773,Bethel Oaks,308773,Bethel Oaks,620 Garfield Ave Ste A,Viroqua,WI,54665,"620 Garfield Ave Ste A Viroqua WI, 54665",43.55044,-90.892388,7,308773,308773,2
337400,BETHESDA NORTH POINTE,337400,BETHESDA NORTH POINTE,500 Peterson Pkwy,New London,MN,56273,"500 Peterson Pkwy New London MN, 56273",45.32561,-94.83814,9,337400,337400,0
200669,BETHESDA PLEASANTVIEW,200669,BETHESDA PLEASANTVIEW,901 Willmar Ave SE,Willmar,MN,56201,"901 Willmar Ave SE Willmar MN, 56201",45.11071,-95.03114,27,200669,200669,0
200007,BILL BACKEN - Retired employee,200007,BILL BACKEN - Retired employee,1029 Goebel St SW,Hutchinson,MN,55350,"1029 Goebel St SW Hutchinson MN, 55350",44.883293,-94.387628,4,200007,200007,6
310304,BIRCHWOOD COTTAGES,310304,BIRCHWOOD COTTAGES,1905 Austin Rd,Owatonna,MN,55060,"1905 Austin Rd Owatonna MN, 55060",44.064486,-93.215369,8,310304,310304,1
310304,BIRCHWOOD COTTAGES,467735,BIRCHWOOD COTTAGES MANKATO,1630 Lor Ray Dr,North Mankato,MN,56003,"1630 Lor Ray Dr North Mankato MN, 56003",44.174198,-94.033124,9,310304,467735,18
334826,Boscobel Area Schools,334826,Boscobel Area Schools,1110 Park St,Boscobel,WI,53805,"1110 Park St Boscobel WI, 53805",43.13312,-90.702813,4,334826,334826,2
273796,BRICKS TRAVEL CENTER,273796,BRICKS TRAVEL CENTER,265 Highway 10 W,Motley,MN,56466,"265 Highway 10 W Motley MN, 56466",46.341139,-94.650063,4,273796,273796,4
298558,BROOKSTONE MANOR,466065,BROOKSTONE MANOR,722 N Pokegama Ave,Grand Rapids,MN,55744,"722 N Pokegama Ave Grand Rapids MN, 55744",47.239446,-93.527843,8,298558,466065,7
200204,BROWNS VALLEY HEALTH CENTER,200204,BROWNS VALLEY HEALTH CENTER,114 Jefferson St S,Browns Valley,MN,56219,"114 Jefferson St S Browns Valley MN, 56219",45.593873,-96.825961,4,200204,200204,5
297427,BUFFALO COUNTY COURTHOUSE,297427,BUFFALO COUNTY COURTHOUSE,407 S 2nd St,Alma,WI,54610,"407 S 2nd St Alma WI, 54610",44.319418,-91.9131,5,297427,297427,14
200587,BUFFALO LAKE HEALTHCARE CENTER,200587,BUFFALO LAKE HEALTHCARE CENTER,703 W Yellowstone Trl,Buffalo Lake,MN,55314,"703 W Yellowstone Trl Buffalo Lake MN, 55314",44.738386,-94.624055,5,200587,200587,6
226944,BUG-O-NAY-GE-SHIG SCHOOL,226944,BUG-O-NAY-GE-SHIG SCHOOL,15353 Silver Eagle Dr NW,Bena,MN,56626,"15353 Silver Eagle Dr NW Bena MN, 56626",47.3594,-94.3076,6,226944,226944,13
201250,CITY OF HUTCHINSON - CITY CENT,461293,BURICH ICE ARENA,950 Harrington St SW,Hutchinson,MN,55350,"950 Harrington St SW Hutchinson MN, 55350",44.879854,-94.38177,6,201250,461293,6
285307,CANTERBURY PARK,285307,CANTERBURY PARK,1100 Canterbury Rd S,SHAKOPEE,MN,55379,"1100 Canterbury Rd S SHAKOPEE MN, 55379",44.790452,-93.483269,11,285307,285307,15
332349,CARVER COUNTY,479171,CARVER CO JAIL-PAPER ONLY,606 E 4TH ST,Chaska,MN,55318,"606 E 4TH ST Chaska MN, 55318",44.787015,-93.592812,4,332349,479171,15
332349,CARVER COUNTY,332349,CARVER COUNTY,600 E 4th St,Chaska,MN,55318,"600 E 4th St Chaska MN, 55318",44.788871,-93.59304,9,332349,332349,15
202609,CCM HEALTH,202609,CCM HEALTH,824 N 11th St,Montevideo,MN,56265,"824 N 11th St Montevideo MN, 56265",44.954159,-95.712325,13,202609,202609,17
203263,ISD 829 WASECA PUBLIC SCHOOLS,481850,Central Building,501 Elm Ave E,Waseca,MN,56093,"501 Elm Ave E Waseca MN, 56093",44.078019,-93.501512,7,203263,481850,1
268997,CENTRAL HEALTH CARE,268997,CENTRAL HEALTH CARE,444 N Cordova Ave,Le Center,MN,56057,"444 N Cordova Ave Le Center MN, 56057",44.396301,-93.728287,7,268997,268997,15
202539,CENTRAL MN CHRISTIAN SCHOOL,202539,CENTRAL MN CHRISTIAN SCHOOL,204 School St,Prinsburg,MN,56281,"204 School St Prinsburg MN, 56281",44.936571,-95.185418,5,202539,202539,0
339502,Chicka Chicka Broom LLC,339502,Chicka Chicka Broom LLC,124 1st St S,Montgomery,MN,56069,"124 1st St S Montgomery MN, 56069",44.437958,-93.581595,4,339502,339502,15
203304,CHURCH OF ST PETER,203304,CHURCH OF ST PETER,1801 W Broadway Ave,Saint Peter,MN,56082,"1801 W Broadway Ave Saint Peter MN, 56082",44.331989,-93.976428,4,203304,203304,18
202705,ServiceMaster by Ayotte,474799,CINCH CONNECTIVITY SOLUTIONS,299 Johnson Ave SW,Waseca,MN,56093,"299 Johnson Ave SW Waseca MN, 56093",44.069128,-93.510438,4,202705,474799,1
203012,CITY OF ALBERT LEA,203012,CITY OF ALBERT LEA,221 E Clark St,Albert Lea,MN,56007,"221 E Clark St Albert Lea MN, 56007",43.650211,-93.366478,4,203012,203012,1
201578,CITY OF BECKER COMMUNITY CENTE,201578,CITY OF BECKER COMMUNITY CENTE,11500 SHERBURNE AVE,Becker,MN,55308,"11500 SHERBURNE AVE Becker MN, 55308",45.401318,-93.871731,5,201578,201578,11
200560,CITY OF GLENCOE,200560,CITY OF GLENCOE,1107 11th St E Ste 107,Glencoe,MN,55336,"1107 11th St E Ste 107 Glencoe MN, 55336",44.770653,-94.147734,5,200560,200560,6
201250,CITY OF HUTCHINSON - CITY CENT,201250,CITY OF HUTCHINSON - CITY CENT,111 Hassan St SE,Hutchinson,MN,55350,"111 Hassan St SE Hutchinson MN, 55350",44.890755,-94.367095,4,201250,201250,6
200646,CITY OF LITCHFIELD,200646,CITY OF LITCHFIELD,126 N Marshall Ave,Litchfield,MN,55355,"126 N Marshall Ave Litchfield MN, 55355",45.12687,-94.526218,7,200646,200646,6
314252,CITY OF MADISON,314252,CITY OF MADISON,1600 Emil St,Madison,WI,53713,"1600 Emil St Madison WI, 53713",43.037638,-89.408971,9,314252,314252,8
202051,CITY OF MOUNTAIN IRON,202051,CITY OF MOUNTAIN IRON,8586 Enterprise Dr S,Mountain Iron,MN,55768,"8586 Enterprise Dr S Mountain Iron MN, 55768",47.51879,-92.59122,7,202051,202051,7
315869,COCHRANE FOUNTAIN CITY SCHOOLS,315869,COCHRANE FOUNTAIN CITY SCHOOLS,S2770 State Road 35,Fountain City,WI,54629,"S2770 State Road 35 Fountain City WI, 54629",44.06964,-91.5616,4,315869,315869,14
306366,COKATO JANITORIAL LLC,306366,COKATO JANITORIAL LLC,8365 County Road 3 NW,Annandale,MN,55302,"8365 County Road 3 NW Annandale MN, 55302",45.2719,-94.18046,6,306366,306366,11
306366,COKATO JANITORIAL LLC,473904,COKATO JANITORIAL LLC,8365 County Road 3,Annandale,MN,55302,"8365 County Road 3 Annandale MN, 55302",45.2719,-94.18046,5,306366,473904,11
200670,COMMUNITY CHRISTIAN SCHOOL,200670,COMMUNITY CHRISTIAN SCHOOL,1300 19th Ave SW,Willmar,MN,56201,"1300 19th Ave SW Willmar MN, 56201",45.104095,-95.05989,6,200670,200670,0
200178,COMMUNITY MEMORIAL HOME,200178,COMMUNITY MEMORIAL HOME,410 W Main St,Osakis,MN,56360,"410 W Main St Osakis MN, 56360",45.869168,-95.162486,16,200178,200178,3
229495,CONCORDIA COLLEGE CORP,229495,CONCORDIA COLLEGE CORP,901 8th St S,Moorhead,MN,56562,"901 8th St S Moorhead MN, 56562",46.862789,-96.771597,6,229495,229495,5
303246,COPPERLEAF SENIOR LIVING COMMU,303246,COPPERLEAF SENIOR LIVING COMMU,1550 1st St N,Willmar,MN,56201,"1550 1st St N Willmar MN, 56201",45.140176,-95.043751,9,303246,303246,0
297908,COSMOS LEARNING CENTER,297908,COSMOS LEARNING CENTER,320 Saturn St N Ste A,Cosmos,MN,56228,"320 Saturn St N Ste A Cosmos MN, 56228",44.939806,-94.700161,6,297908,297908,6
266905,COULEE REGION CHRISTIAN SCHOOL,266905,COULEE REGION CHRISTIAN SCHOOL,230 Garland St W,West Salem,WI,54669,"230 Garland St W West Salem WI, 54669",43.89965,-91.08392,8,266905,266905,14
342289,County of OtterTail,342289,County of OtterTail,1115 N Tower Rd,Fergus Falls,MN,56537,"1115 N Tower Rd Fergus Falls MN, 56537",46.293943,-96.092272,4,342289,342289,5
211204,CRAFTS DIRECT,211204,CRAFTS DIRECT,620 Sundial Dr,Waite Park,MN,56387,"620 Sundial Dr Waite Park MN, 56387",45.541917,-94.224974,4,211204,211204,11
297684,CROSSING RIVERS HEALTH,297684,CROSSING RIVERS HEALTH,37868 US Highway 18,Prairie du Chien,WI,53821,"37868 US Highway 18 Prairie du Chien WI, 53821",43.019681,-91.113912,14,297684,297684,2
211370,CROSSLAKE COMMUNITY SCHOOL,211370,CROSSLAKE COMMUNITY SCHOOL,35808 COUNTY ROAD 66,CROSSLAKE,MN,56442,"35808 COUNTY ROAD 66 CROSSLAKE MN, 56442",46.67255,-94.107802,4,211370,211370,13
203918,CENTRAL TODD COUNTY CARE CENTE,431409,CTCC HOUSEKEEPING DEPT,406 Highway 71 E,Clarissa,MN,56440,"406 Highway 71 E Clarissa MN, 56440",46.131131,-94.954422,4,203918,431409,4
346778,CURA OF MELROSE,346778,CURA OF MELROSE,101 5TH AVE NW,MELROSE,MN,56352,"101 5TH AVE NW MELROSE MN, 56352",45.67676,-94.80788,21,346778,346778,4
201557,ANNANDALE CARE CENTER,484043,CV HOUSEKEEPING,500 PARK ST E,Annandale,MN,55302,"500 PARK ST E Annandale MN, 55302",45.267237,-94.115179,8,201557,484043,11
201557,ANNANDALE CARE CENTER,484044,CV LAUNDRY,500 PARK ST E,Annandale,MN,55302,"500 PARK ST E Annandale MN, 55302",45.267237,-94.115179,4,201557,484044,11
333307,Data Metalcraft Inc,480477,DATA METALCRAFT INC,300 3rd Ave SW,Arlington,MN,55307,"300 3rd Ave SW Arlington MN, 55307",44.604932,-94.0813,5,333307,480477,15
217141,DAVID TRIMBO,217141,DAVID TRIMBO,325 DALE ST SW,Hutchinson,MN,55350,"325 DALE ST SW Hutchinson MN, 55350",44.888175,-94.381136,7,217141,217141,6
332062,DEFOREST AREA SCHOOL DISTRICT,474563,DEFOREST HIGH SCHOOL,815 Jefferson St,DeForest,WI,53532,"815 Jefferson St DeForest WI, 53532",43.244492,-89.327302,4,332062,474563,8
202883,DIVINE MERCY CATHOLIC,202883,DIVINE MERCY CATHOLIC,15 3rd Ave SW,Faribault,MN,55021,"15 3rd Ave SW Faribault MN, 55021",44.289649,-93.272502,4,202883,202883,1
201933,DIVINE PROVIDENCE COMMUNITY HO,201933,DIVINE PROVIDENCE COMMUNITY HO,700 3rd Ave NW,Sleepy Eye,MN,56085,"700 3rd Ave NW Sleepy Eye MN, 56085",44.305239,-94.724981,4,201933,201933,18
343556,Divine Rehab & Nursing at Fenn,343556,Divine Rehab & Nursing at Fenn,1850 11th St,Fennimore,WI,53809,"1850 11th St Fennimore WI, 53809",42.982409,-90.663097,5,343556,343556,2
201512,DURA SUPREME,201512,DURA SUPREME,300 Dura Dr,Howard Lake,MN,55349,"300 Dura Dr Howard Lake MN, 55349",45.061096,-94.058095,4,201512,201512,6
254604,ECHO CHARTER SCHOOL,254604,ECHO CHARTER SCHOOL,101 Rocket Ave,Echo,MN,56237,"101 Rocket Ave Echo MN, 56237",44.617885,-95.410088,4,254604,254604,0
311893,EDGEWOOD SARTELL,457649,EDGEWOOD SARTELL,677 Brianna Dr,Sartell,MN,56377,"677 Brianna Dr Sartell MN, 56377",45.600727,-94.213866,5,311893,457649,11
309817,EDGEWOOD VISTA,309817,EDGEWOOD VISTA,1902 7th Ave E,Alexandria,MN,56308,"1902 7th Ave E Alexandria MN, 56308",45.883959,-95.348218,4,309817,309817,3
310926,ESSENTIA HEALTH SPORTS CENTER,310926,ESSENTIA HEALTH SPORTS CENTER,502 Jackson St,Brainerd,MN,56401,"502 Jackson St Brainerd MN, 56401",46.360294,-94.220504,5,310926,310926,13
200159,ORTONVILLE AREA HEALTH SERVICE,464233,FAIRWAY VIEW NEIGHBORS,201 Mark Dr,Ortonville,MN,56278,"201 Mark Dr Ortonville MN, 56278",45.317886,-96.450526,12,200159,464233,17
202904,FEDERATED MUTUAL INS CO,401866,FEDERATED INSURANCE ATA BUILDI,1929 S Cedar Ave,Owatonna,MN,55060,"1929 S Cedar Ave Owatonna MN, 55060",44.064076,-93.226667,8,202904,401866,1
202904,FEDERATED MUTUAL INS CO,202904,FEDERATED MUTUAL INS CO,121 E Park Sq,Owatonna,MN,55060,"121 E Park Sq Owatonna MN, 55060",44.08407,-93.224996,7,202904,202904,1
202205,FENNIMORE COMMUNITY SCHOOL DIS,401760,FENNIMORE COMMUNITY SCHOOL DIS,510 7th St,Fennimore,WI,53809,"510 7th St Fennimore WI, 53809",42.986005,-90.647207,6,202205,401760,2
200180,FERGUS FALLS VETERANS HOME,200180,FERGUS FALLS VETERANS HOME,1821 N Park St,Fergus Falls,MN,56537,"1821 N Park St Fergus Falls MN, 56537",46.302085,-96.077474,5,200180,200180,5
200729,FIRST EV LUTHERAN CHURCH & SCH,200729,FIRST EV LUTHERAN CHURCH & SCH,925 13th St E,Glencoe,MN,55336,"925 13th St E Glencoe MN, 55336",44.772759,-94.149879,4,200729,200729,6
281421,FORSMAN FARMS INC,464905,FORSMAN FARMS,225 Olsen Blvd NE,Cokato,MN,55321,"225 Olsen Blvd NE Cokato MN, 55321",45.081716,-94.184488,9,281421,464905,6
341308,FOUR LEAF PROPERTY SERVICES,341308,FOUR LEAF PROPERTY SERVICES,4370 278th St W,Northfield,MN,55057,"4370 278th St W Northfield MN, 55057",44.545255,-93.154022,4,341308,341308,16
200512,FRANCISCAN SISTERS OF LITTLE F,200512,FRANCISCAN SISTERS OF LITTLE F,116 8th Ave SE,Little Falls,MN,56345,"116 8th Ave SE Little Falls MN, 56345",45.965632,-94.36281,4,200512,200512,4
320000,FRANKLIN REHABILITATION/ HEALT,320000,FRANKLIN REHABILITATION/ HEALT,900 3rd St S,FRANKLIN,MN,55333,"900 3rd St S FRANKLIN MN, 55333",44.521015,-94.884973,6,320000,320000,0
303511,GARNETTE GARDENS,303511,GARNETTE GARDENS,511 S Dekalb St,Redwood Falls,MN,56283,"511 S Dekalb St Redwood Falls MN, 56283",44.535464,-95.097429,7,303511,303511,0
324145,GATHER COFFEE & BISTRO,324145,GATHER COFFEE & BISTRO,625 S Lakeshore Dr Ste B100,Glenwood,MN,56334,"625 S Lakeshore Dr Ste B100 Glenwood MN, 56334",45.64439,-95.38828,5,324145,324145,3
327736,GIANT SNACKS,327736,GIANT SNACKS,17950 Highway 13,Wahpeton,ND,58075,"17950 Highway 13 Wahpeton ND, 58075",46.260154,-96.64892,6,327736,327736,5
202570,GLACIAL RIDGE HOSPITAL,202570,GLACIAL RIDGE HOSPITAL,10 4th Ave SE,Glenwood,MN,56334,"10 4th Ave SE Glenwood MN, 56334",45.64621,-95.389251,8,202570,202570,3
200730,GLENCOE REGIONAL HEALTH SERVIC,200730,GLENCOE REGIONAL HEALTH SERVIC,1805 Hennepin Ave N,Glencoe,MN,55336,"1805 Hennepin Ave N Glencoe MN, 55336",44.778161,-94.152666,10,200730,200730,6
202614,GLENWOOD LUTHERAN CHURCH,202614,GLENWOOD LUTHERAN CHURCH,206 Minnesota Ave E,Glenwood,MN,56334,"206 Minnesota Ave E Glenwood MN, 56334",45.649925,-95.386434,6,202614,202614,3
202615,GLENWOOD VILLAGE CARE CENTER,202615,GLENWOOD VILLAGE CARE CENTER,719 2ND ST SE,Glenwood,MN,56334,"719 2ND ST SE Glenwood MN, 56334",45.64343,-95.386,6,202615,202615,3
229408,GOOD SHEPHERD COMMUNITY,446085,GOOD SHEPHERD COTTAGES,307 11th St N,Sauk Rapids,MN,56379,"307 11th St N Sauk Rapids MN, 56379",45.60334,-94.178769,6,229408,446085,11
200552,GOOD SHEPHERD LUTHERAN HOME,200552,GOOD SHEPHERD LUTHERAN HOME,1115 4th Ave N,Sauk Rapids,MN,56379,"1115 4th Ave N Sauk Rapids MN, 56379",45.603271,-94.176965,9,200552,200552,11
249132,GOOD SHEPHERD LUTHERAN-LAUNDRY,249132,GOOD SHEPHERD LUTHERAN-LAUNDRY,800 HOME ST,RUSHFORD,MN,55971,"800 HOME ST RUSHFORD MN, 55971",43.820475,-91.757935,4,249132,249132,14
200164,GRACEVILLE HEALTH CENTER,200164,GRACEVILLE HEALTH CENTER,115 W 2nd St,Graceville,MN,56240,"115 W 2nd St Graceville MN, 56240",45.562568,-96.433948,9,200164,200164,17
203463,GRAFTON PUBLIC SCHOOL DISTRICT,203463,GRAFTON PUBLIC SCHOOL DISTRICT,1548 School Rd,Grafton,ND,58237,"1548 School Rd Grafton ND, 58237",48.407251,-97.42533,6,203463,203463,10
285215,GRAND VILLAGE,285215,GRAND VILLAGE,923 Hale Lake Pointe,Grand Rapids,MN,55744,"923 Hale Lake Pointe Grand Rapids MN, 55744",47.248036,-93.562166,8,285215,285215,7
311836,GRANT REGIONAL HEALTH CENTER,311836,GRANT REGIONAL HEALTH CENTER,507 S Monroe St,Lancaster,WI,53813,"507 S Monroe St Lancaster WI, 53813",42.844022,-90.708886,13,311836,311836,2
209262,GUNDERSEN LUTHERAN,472281,GUNDERSEN HEALTH SYSTEMS CSC,1115 Industrial Dr,West Salem,WI,54669,"1115 Industrial Dr West Salem WI, 54669",43.896037,-91.06426,10,209262,472281,14
293989,HARMONY RIVER LIVING CENTER,293989,HARMONY RIVER LIVING CENTER,1555 Sherwood St SE,Hutchinson,MN,55350,"1555 Sherwood St SE Hutchinson MN, 55350",44.864269,-94.364125,11,293989,293989,6
203027,HARRY BROWN'S GM,203027,HARRY BROWN'S GM,1747 Grant St NW,Faribault,MN,55021,"1747 Grant St NW Faribault MN, 55021",44.293622,-93.296131,4,203027,203027,1
330726,HAVENWOOD OF ONALASKA,330726,HAVENWOOD OF ONALASKA,3770 Emerald Dr E,ONALASKA,WI,54650,"3770 Emerald Dr E ONALASKA WI, 54650",43.887489,-91.16782,5,330726,330726,14
336178,WAUNAKEE COMMUNITY SCHOOL DIST,479607,HERITAGE ELEMENTARY SCHOOL,6271 WOODLAND DR,Waunakee,WI,53597,"6271 WOODLAND DR Waunakee WI, 53597",43.17544,-89.47424,4,336178,479607,8
201999,THE LUTHERAN HOME BELLE PLAINE,473082,HIGH ISLAND CREEK RESIDENCE,708 Chestnut St,Arlington,MN,55307,"708 Chestnut St Arlington MN, 55307",44.613318,-94.081478,4,201999,473082,15
201648,HILLTOP HEALTH CARE CENTER,201648,HILLTOP HEALTH CARE CENTER,410 Luella St,Watkins,MN,55389,"410 Luella St Watkins MN, 55389",45.322036,-94.411881,5,201648,201648,11
