Sold To ID,Sold To Customer,Ship To ID,Ship To Customer,Ship To Address,Ship To City,Ship To State,Ship To Zip,Full Address,Latitude,Longitude,GP CY,GP PY TTD,GP Var,GP % Diff,Revenue CY,Revenue PY TTD,Revenue Var,Revenue % Diff,Total Orders,Avg. GP per Order,Cluster
290799,213 COURT STREET REALTY TRUST,290799,213 COURT STREET REALTY TRUST,213 Court St,Middletown,CT,6457,"213 Court St Middletown, CT 06457",41.55908,-72.650182,"$15,361","$6,027","$9,334",154.87%,"$55,521","$17,442","$38,079",218.32%,5,$937.98,0
295245,A CLEAR VIEW WINDOW CLN RESALE,295245,A CLEAR VIEW WINDOW CLN RESALE,37 BURNHAM ST,Enfield,CT,6082,"37 BURNHAM ST Enfield, CT 06082",41.942955,-72.57241,"$6,727","$7,099",($372),-5.25%,"$22,896","$20,648","$2,248",10.89%,9,$225.12,10
287838,ACCUTRON INC,287838,ACCUTRON INC,149 Addison Rd,Windsor,CT,6095,"149 Addison Rd Windsor, CT 06095",41.867201,-72.677407,$705,$344,$361,104.73%,"$2,029","$1,499",$530,35.39%,4,$67.70,0
287972,ADELBROOK HOME OF CROMWELL,444038,ADELBROOK,60 Hicksville Rd,Cromwell,CT,6416,"60 Hicksville Rd Cromwell, CT 06416",41.600599,-72.664329,"$10,268","$8,917","$1,352",15.16%,"$45,497","$40,289","$5,209",12.93%,4,$373.57,0
290623,PAC SERVICES,460021,AERO GEAR INC,1050 Day Hill Rd,Windsor,CT,6095,"1050 Day Hill Rd Windsor, CT 06095",41.881027,-72.703704,"$4,521","$3,275","$1,245",38.02%,"$15,642","$12,403","$3,239",26.12%,10,$161.14,0
290199,AF CLEANING SERVICES LLC,290199,AF CLEANING SERVICES LLC,60 Thomas St,West Hartford,CT,6119,"60 Thomas St West Hartford, CT 06119",41.754266,-72.724868,$619,$157,$462,293.10%,"$1,850",$488,"$1,362",278.82%,4,$73.58,0
294429,NYS ALBANY CITY SCHOOL,447367,ALBANY CITY SCHOOL-CENT. MTC.,33 Essex St,Albany,NY,12206,"33 Essex St Albany, NY 12206",42.67742,-73.77965,"$126,046","$128,935","($2,889)",-2.24%,"$365,576","$390,772","($25,196)",-6.45%,6,"$3,620.38",2
251177,SAU #81 HUDSON SCHOOL DISTRICT,464126,ALVIRNE HIGH SCHOOL,200 Derry Rd,Hudson,NH,3051,"200 Derry Rd Hudson, NH 03051",42.794016,-71.438355,"$5,956","$6,432",($476),-7.40%,"$22,509","$29,500","($6,991)",-23.70%,4,$439.43,18
343866,AMERICAN SCHOOL FOR THE DEAF C,343866,AMERICAN SCHOOL FOR THE DEAF C,139 N Main St,West Hartford,CT,6107,"139 N Main St West Hartford, CT 06107",41.771131,-72.746764,"$19,698","$4,491","$15,207",338.62%,"$74,167","$17,683","$56,484",319.42%,6,$422.70,0
251224,SAU #39 AMHERST SCHOOL DISTRIC,420952,AMHERST MIDDLE SCHOOL,14 Cross Rd,Amherst,NH,3031,"14 Cross Rd Amherst, NH 03031",42.82448,-71.576528,"$2,577","$1,386","$1,191",85.93%,"$7,216","$4,025","$3,191",79.27%,4,$77.42,1
287969,AMITY REGIONAL SCHOOL DISTR NO,443964,AMITY MIDDLE SCHOOL-BETHANY CA,190 Luke Hill Rd,Bethany,CT,6524,"190 Luke Hill Rd Bethany, CT 06524",41.417487,-73.005796,"$5,098","$3,028","$2,070",68.37%,"$14,991","$9,768","$5,223",53.47%,4,$398.24,16
287969,AMITY REGIONAL SCHOOL DISTR NO,454707,AMITY REGIONAL HIGH SCHOOL,25 Newton Rd,Woodbridge,CT,6525,"25 Newton Rd Woodbridge, CT 06525",41.35694,-73.00881,"$15,447","$13,527","$1,920",14.19%,"$50,582","$45,235","$5,348",11.82%,4,$890.31,16
317867,TOWN OF ARLINGTON,475065,ARLINGTON HIGH SCHOOL,869 Massachusetts Ave,Arlington,MA,2476,"869 Massachusetts Ave Arlington, MA 02476",42.417841,-71.162183,"$13,400","$11,593","$1,808",15.59%,"$41,829","$39,774","$2,055",5.17%,4,$207.08,3
288029,ASHFORD ELEMENTARY SCHOOL,288029,ASHFORD ELEMENTARY SCHOOL,440 Westford Rd,Ashford,CT,6278,"440 Westford Rd Ashford, CT 06278",41.892484,-72.169107,"$9,743","$9,752",($9),-0.09%,"$21,868","$24,509","($2,641)",-10.78%,6,"$1,004.50",19
288071,ASNUNTUCK COMMUNITY COLLEGE,288071,ASNUNTUCK COMMUNITY COLLEGE,170 Elm St,Enfield,CT,6082,"170 Elm St Enfield, CT 06082",41.998089,-72.57131,$462,$308,$154,49.92%,"$1,249",$842,$408,48.48%,4,$114.06,10
288334,ATHOL-ROYALSTON REG SCHOOL DIS,460348,ATHOL ELEMENTARY SCHOOL,1064 Pleasant St,Athol,MA,1331,"1064 Pleasant St Athol, MA 01331",42.575719,-72.211514,"$6,229",,"$6,229",,"$19,503",,"$19,503",,4,$738.91,22
250702,AUGUSTA CIVIC CENTER,250702,AUGUSTA CIVIC CENTER,76 Community Dr,Augusta,ME,4330,"76 Community Dr Augusta, ME 04330",44.342486,-69.798835,"$7,049","$2,803","$4,246",151.47%,"$22,310","$7,959","$14,351",180.32%,6,$343.22,13
254112,AUTO FAIR FORD,254112,AUTO FAIR FORD,1475 S Willow St,Manchester,NH,3103,"1475 S Willow St Manchester, NH 03103",42.955027,-71.439034,"$2,719","$2,474",$245,9.90%,"$9,795","$9,257",$539,5.82%,4,$141.21,1
254110,AUTO FAIR HONDA,420967,AUTO FAIR HONDA,200 Keller St,Manchester,NH,3103,"200 Keller St Manchester, NH 03103",42.950627,-71.440972,"$2,332","$2,566",($233),-9.09%,"$8,573","$9,396",($823),-8.76%,4,$214.42,1
254113,AUTO FAIR HYUNDAI,420968,AUTO FAIR HYUNDAI,1477 S Willow St,Manchester,NH,3103,"1477 S Willow St Manchester, NH 03103",42.955246,-71.437142,"$2,022","$1,568",$454,28.98%,"$6,506","$5,823",$683,11.73%,5,$105.11,1
298416,AUTO FAIR NISSAN OF STRATHAM,450132,AUTO FAIR NISSAN OF STRATHAM,45 Portsmouth Ave,Stratham,NH,3885,"45 Portsmouth Ave Stratham, NH 03885",43.003579,-70.921187,"$1,851","$1,602",$250,15.59%,"$6,021","$5,398",$622,11.53%,4,$183.40,15
310216,AUTOFAIR SUBARU,464000,AUTO FAIR SUBARU ATT SERVICE D,503 Broadway,Haverhill,MA,1832,"503 Broadway Haverhill, MA 01832",42.784849,-71.118761,"$1,679","$1,211",$468,38.68%,"$5,565","$4,424","$1,142",25.81%,4,$173.55,18
345302,AVON BOARD OF EDUCATION - CREC,483004,AVON HIGH SCHOOL - CREC,510 W Avon Rd,Avon,CT,6001,"510 W Avon Rd Avon, CT 06001",41.783462,-72.861995,"$12,683",,"$12,683",,"$46,876",,"$46,876",,6,$469.03,23
288353,BOSTON PUBLIC SCHOOLS,449811,BALDWIN EARLY LEARNING PILOT A,121 Corey Rd,Brighton,MA,2135,"121 Corey Rd Brighton, MA 02135",42.34201,-71.140534,"$1,049",$851,$198,23.25%,"$4,266","$3,893",$372,9.56%,5,$95.07,3
269730,NYS BALLSTON SPA CENTRAL SCHOO,471785,BALLSTON SPA CENTRAL SCHOOL,480 Garrett Rd,Ballston Spa,NY,12020,"480 Garrett Rd Ballston Spa, NY 12020",42.99361,-73.85856,"$31,009","$33,029","($2,020)",-6.12%,"$131,865","$136,822","($4,957)",-3.62%,6,"$1,764.07",2
286926,BANCROFT SCHOOL,286926,BANCROFT SCHOOL,110 Shore Dr,Worcester,MA,1605,"110 Shore Dr Worcester, MA 01605",42.30482,-71.81483,"$6,575","$8,079","($1,504)",-18.61%,"$19,869","$24,129","($4,260)",-17.66%,5,$670.88,17
251379,SALEM SCHOOL DISTRICT SAU 57,420975,BARRON SCHOOL,55 Butler St,Salem,NH,3079,"55 Butler St Salem, NH 03079",42.765173,-71.18973,"$4,087","$1,652","$2,435",147.38%,"$12,693","$4,222","$8,471",200.66%,7,$255.11,18
251498,MAPLE RUN UNIFIED SCHOOL DISTR,469492,BELLOWS FREE ACADEMY,71 S Main St,Saint Albans,VT,5478,"71 S Main St Saint Albans, VT 05478",44.808252,-73.082787,"$5,573","$3,502","$2,071",59.14%,"$21,254","$15,758","$5,496",34.88%,5,$176.81,21
332889,MIDDLETOWN BOARD OF ED CREC,472582,BEMAN MIDDLE SCHOOL CREC -W WI,1 Wildermans Way,Middletown,CT,6457,"1 Wildermans Way Middletown, CT 06457",41.539226,-72.646243,"$2,331","$3,384","($1,053)",-31.12%,"$9,491","$14,374","($4,883)",-33.97%,5,$103.36,0
287703,BETH SHOLOM BNAI ISRAEL,287703,BETH SHOLOM BNAI ISRAEL,400 Middle Tpke E,Manchester,CT,6040,"400 Middle Tpke E Manchester, CT 06040",41.783901,-72.504148,$400,$275,$125,45.38%,"$1,014",$578,$436,75.42%,4,$70.54,0
250258,BETHANY COVENANT CHURCH,250258,BETHANY COVENANT CHURCH,1 Covenant Way,Bedford,NH,3110,"1 Covenant Way Bedford, NH 03110",42.926642,-71.531829,"$1,070",$878,$192,21.89%,"$3,107","$2,725",$383,14.05%,5,$85.47,1
287962,NORWICH BOARD OF EDUCATION,444008,BISHOP SCHOOL,526 E Main St,Norwich,CT,6360,"526 E Main St Norwich, CT 06360",41.522816,-72.062574,"$2,102","$5,211","($3,109)",-59.65%,"$10,386","$19,829","($9,443)",-47.62%,5,$94.88,7
288343,SPRINGFIELD PUBLIC SCHOOLS,442956,BOLAND SCHOOL,426 Armory St,Springfield,MA,1104,"426 Armory St Springfield, MA 01104",42.120175,-72.586995,"$4,134","$3,224",$910,28.21%,"$17,888","$14,319","$3,569",24.92%,5,$966.02,10
331208,TRUMBULL BOARD OF EDUCATION -,471538,BOOTH HILL SCHOOL - CREC,545 Booth Hill Rd,Trumbull,CT,6611,"545 Booth Hill Rd Trumbull, CT 06611",41.260786,-73.171922,"$5,421","$4,097","$1,324",32.31%,"$20,480","$15,532","$4,948",31.86%,6,$216.46,9
287533,BOSTON COLLEGE CUSTODIAL DEPT,482031,BOSTON COLLEGE CUST. SERVICES,300 Hammond Pond Pkwy,Chestnut Hill,MA,2467,"300 Hammond Pond Pkwy Chestnut Hill, MA 02467",42.325331,-71.177416,"$3,857","$1,054","$2,803",265.94%,"$12,899","$3,558","$9,340",262.49%,5,$163.31,3
287533,BOSTON COLLEGE CUSTODIAL DEPT,287533,BOSTON COLLEGE CUSTODIAL DEPT,140 Commonwealth Ave,Chestnut Hill,MA,2467,"140 Commonwealth Ave Chestnut Hill, MA 02467",42.336769,-71.171426,"$32,623","$20,070","$12,553",62.55%,"$113,377","$66,266","$47,110",71.09%,12,$607.01,3
288353,BOSTON PUBLIC SCHOOLS,458392,BOSTON LATIN SCHOOL,78 Avenue Louis Pasteur,Boston,MA,2115,"78 Avenue Louis Pasteur Boston, MA 02115",42.337875,-71.101384,"$1,415","$1,529",($114),-7.47%,"$6,346","$7,625","($1,279)",-16.77%,4,$106.81,3
308305,NYS GLOVERSVILLE ENLARGED SCHO,457987,BOULEVARD ELEMENTARY SCHOOL,56 East Blvd,Gloversville,NY,12078,"56 East Blvd Gloversville, NY 12078",43.055139,-74.326822,"$6,567","$4,512","$2,055",45.54%,"$17,490","$12,661","$4,829",38.14%,7,$166.79,20
337413,BOWMAN PLACE AT OLDE BEDFORD,337413,BOWMAN PLACE AT OLDE BEDFORD,24 Old Bedford Rd,Bedford,NH,3110,"24 Old Bedford Rd Bedford, NH 03110",42.96036,-71.511579,"$3,697","$5,330","($1,633)",-30.63%,"$10,622","$16,247","($5,624)",-34.62%,6,$144.38,1
265528,BOYS & GIRLS CLUB OF SOUHEGAN,265528,BOYS & GIRLS CLUB OF SOUHEGAN,56 Mont Vernon Rd,Milford,NH,3055,"56 Mont Vernon Rd Milford, NH 03055",42.837846,-71.654647,"$2,874","$1,784","$1,091",61.15%,"$9,130","$5,977","$3,153",52.75%,5,$171.69,1
287006,Braintree DPW - Facilities Div,442990,BRAINTREE HIGH SCHOOL,128 Town St,Braintree,MA,2184,"128 Town St Braintree, MA 02184",42.20413,-71.02038,"$20,711","$29,067","($8,356)",-28.75%,"$71,045","$107,833","($36,788)",-34.12%,6,$880.09,3
287930,BRANFORD BOARD OF EDUCATION,443703,BRANFORD HIGH SCHOOL,185 E Main St,Branford,CT,6405,"185 E Main St Branford, CT 06405",41.287531,-72.80138,"$24,263","$9,349","$14,914",159.53%,"$73,090","$34,785","$38,305",110.12%,4,$579.83,16
287030,BRATTLEBORO UNION HIGH SCHOOL,287030,BRATTLEBORO UNION HIGH SCHOOL,131 Fairground Rd,Brattleboro,VT,5301,"131 Fairground Rd Brattleboro, VT 05301",42.836739,-72.561262,"$19,657","$16,993","$2,664",15.68%,"$64,211","$56,961","$7,250",12.73%,8,$504.39,22
288353,BOSTON PUBLIC SCHOOLS,448442,BRIGHTON HIGH,25 Warren St,Brighton,MA,2135,"25 Warren St Brighton, MA 02135",42.349154,-71.145814,"$2,567","$3,471",($904),-26.04%,"$10,851","$13,898","($3,047)",-21.92%,6,$267.73,3
288343,SPRINGFIELD PUBLIC SCHOOLS,479745,BRIGHTWOOD-LINCOLN ELEMENTARY,255 Plainfield St,Springfield,MA,1107,"255 Plainfield St Springfield, MA 01107",42.115448,-72.611178,"$3,256","$5,614","($2,358)",-42.00%,"$13,600","$23,411","($9,811)",-41.91%,6,$157.37,10
328031,BRISTOL BOARD OF EDUCATION CRE,469886,BRISTOL BOE WAREHOUSE - CREC,129 Church St,Bristol,CT,6010,"129 Church St Bristol, CT 06010",41.669556,-72.945106,"$34,751","$11,208","$23,543",210.06%,"$114,972","$33,342","$81,630",244.82%,10,$492.58,23
296658,NYS BROADALBIN PERTH CNTRL SCH,405564,BROADALBIN-PERTH HIGH SCHOOL,100 Bridge St,Broadalbin,NY,12025,"100 Bridge St Broadalbin, NY 12025",43.054721,-74.188745,"$7,344","$2,853","$4,491",157.40%,"$23,964","$11,144","$12,820",115.04%,4,$977.37,20
288353,BOSTON PUBLIC SCHOOLS,459010,BRUCE BOLLING BUILDING,2300 Washington St,Roxbury,MA,2119,"2300 Washington St Roxbury, MA 02119",42.330237,-71.083662,$689,$368,$321,87.03%,"$3,252","$1,737","$1,515",87.23%,4,$91.71,3
288353,BOSTON PUBLIC SCHOOLS,458393,BTU/BOSTON TEACHERS UNION K-8,25 Walk Hill St,Jamaica Plain,MA,2130,"25 Walk Hill St Jamaica Plain, MA 02130",42.294653,-71.115979,$460,$215,$245,113.67%,"$2,453","$1,340","$1,113",83.04%,4,$36.24,3
288820,C R SUMMER HILL LP,288820,C R SUMMER HILL LP,200 PRATT ST,Meriden,CT,6450,"200 PRATT ST Meriden, CT 06450",41.540719,-72.794332,$356,$205,$151,73.94%,$942,$667,$275,41.25%,6,$13.24,16
341790,Canobie Lake Auto,480384,CANOBIE LAKE TOYOTA,412 S Broadway,Salem,NH,3079,"412 S Broadway Salem, NH 03079",42.748053,-71.20426,"$1,624","$1,609",$15,0.93%,"$5,208","$4,650",$558,12.01%,4,$152.57,18
301146,CANTERBURY PUBLIC SCHOOLS,301146,CANTERBURY PUBLIC SCHOOLS,45 Westminster Rd,Canterbury,CT,6331,"45 Westminster Rd Canterbury, CT 06331",41.698634,-71.977199,"$2,925","$2,160",$765,35.43%,"$11,017","$7,867","$3,150",40.04%,4,$331.96,7
288263,CANTON BOARD OF EDUCATION,444307,CANTON BOE CHERRY BROOK PRIMAR,4 Barbourtown Rd,Canton,CT,6019,"4 Barbourtown Rd Canton, CT 06019",41.859849,-72.915346,"$6,936","$8,695","($1,759)",-20.23%,"$21,503","$27,801","($6,298)",-22.65%,5,$348.62,23
342991,Capital City Subaru,484074,CAPITAL CITY KIA,158 MANCHESTER ST,Concord,NH,3301,"158 MANCHESTER ST Concord, NH 03301",43.18694,-71.500389,$341,,$341,,"$1,031",,"$1,031",,4,$59.62,1
342991,Capital City Subaru,342991,Capital City Subaru,150 Manchester St,Concord,NH,3301,"150 Manchester St Concord, NH 03301",43.187178,-71.501149,"$1,222","$1,071",$151,14.08%,"$3,676","$3,564",$112,3.14%,4,$52.25,1
288831,CARABETTA ENTERPRISES INC,288831,CARABETTA ENTERPRISES INC,200 PRATT ST,Meriden,CT,6450,"200 PRATT ST Meriden, CT 06450",41.540719,-72.794332,"$6,537","$6,762",($225),-3.33%,"$22,765","$26,907","($4,142)",-15.39%,9,$347.35,16
288222,WEST HAVEN BOARD OF EDUCATION,445470,Carrigan School,2 Tetlow St,West Haven,CT,6516,"2 Tetlow St West Haven, CT 06516",41.2914,-72.971487,"$5,980",$928,"$5,052",544.64%,"$24,325","$3,469","$20,856",601.12%,4,$573.59,16
288417,CENTER REDEVELOPMENT CORP,288417,CENTER REDEVELOPMENT CORP,17 College St,South Hadley,MA,1075,"17 College St South Hadley, MA 01075",42.2498,-72.57641,"$4,430","$4,915",($485),-9.87%,"$13,973","$16,111","($2,138)",-13.27%,6,$315.58,10
292934,TEWKSBURY SCHOOL DEPARTMENT,484064,CENTER SCHOOL,139 PLEASANT ST,Tewksbury,MA,1876,"139 PLEASANT ST Tewksbury, MA 01876",42.60939,-71.23948,$514,,$514,,"$1,835",,"$1,835",,4,$631.68,18
287953,SIMSBURY PUBLIC SCHOOLS,443906,CENTRAL SCHOOL,29 Massaco St,Simsbury,CT,6070,"29 Massaco St Simsbury, CT 06070",41.880995,-72.803261,"$2,133","$2,238",($105),-4.68%,"$8,810","$9,825","($1,015)",-10.33%,11,$133.20,23
288353,BOSTON PUBLIC SCHOOLS,458490,CHARLES H TAYLOR ELEMENTARY,1060 Morton St,Mattapan,MA,2126,"1060 Morton St Mattapan, MA 02126",42.277846,-71.077356,$430,$574,($144),-25.06%,"$2,458","$3,250",($792),-24.37%,4,$101.46,3
287610,CHARLOTTE HUNGERFORD HOSPITAL,287610,CHARLOTTE HUNGERFORD HOSPITAL,540 Litchfield St,Torrington,CT,6790,"540 Litchfield St Torrington, CT 06790",41.791591,-73.133806,"$1,190",$713,$477,66.89%,"$6,030","$4,469","$1,561",34.92%,6,$86.10,23
269123,CITY OF AUGUSTA,269123,CITY OF AUGUSTA,16 Cony St,Augusta,ME,4330,"16 Cony St Augusta, ME 04330",44.315775,-69.770557,"$4,435","$3,089","$1,346",43.58%,"$15,104","$10,603","$4,500",42.44%,4,$560.00,13
288386,TOWN OF CLINTON,473059,CLINTON ELEMENTARY SCHOOL,100 Church St,CLINTON,MA,1510,"100 Church St CLINTON, MA 01510",42.41856,-71.686392,"$4,487","$5,156",($668),-12.96%,"$16,631","$18,687","($2,056)",-11.00%,5,$333.06,17
288054,WINDSOR BOARD OF EDUCATION,443942,CLOVER STREET SCHOOL,57 Clover St,Windsor,CT,6095,"57 Clover St Windsor, CT 06095",41.83238,-72.663133,"$3,618","$3,482",$136,3.90%,"$13,562","$13,749",($187),-1.36%,5,$147.97,0
289967,COMMERCIAL CLEANING SRV - TAXA,289967,COMMERCIAL CLEANING SRV - TAXA,48 N Beacon St,Allston,MA,2134,"48 N Beacon St Allston, MA 02134",42.364728,-71.180006,"$9,741","$9,109",$633,6.95%,"$32,519","$29,791","$2,728",9.16%,11,$247.77,3
287245,COMMUNITY CHILD GUIDANCE CLINI,287245,COMMUNITY CHILD GUIDANCE CLINI,1075 TOLLAND TPKE,Manchester,CT,6042,"1075 TOLLAND TPKE Manchester, CT 06042",41.796375,-72.549637,"$2,363","$2,363",($0),-0.01%,"$7,070","$7,602",($532),-7.00%,4,$222.77,0
287495,CONN HISTORICAL SOCIETY,287495,CONN HISTORICAL SOCIETY,1 Elizabeth St,Hartford,CT,6105,"1 Elizabeth St Hartford, CT 06105",41.772972,-72.705103,"$1,892","$1,764",$128,7.23%,"$5,393","$5,408",($16),-0.29%,4,$223.28,0
249437,ADDISON CENTRAL SCHOOL DISTRIC,465262,CORNWALL SCHOOL,112 School Rd,Cornwall,VT,5753,"112 School Rd Cornwall, VT 05753",43.96406,-73.206472,"$1,690","$1,473",$217,14.73%,"$5,372","$4,441",$930,20.95%,4,$154.58,12
287659,CORPUS CHRISTI SCHOOL,287659,CORPUS CHRISTI SCHOOL,581 Silas Deane Hwy,Wethersfield,CT,6109,"581 Silas Deane Hwy Wethersfield, CT 06109",41.708902,-72.663745,"$2,234","$1,932",$302,15.62%,"$7,488","$7,075",$413,5.84%,7,$121.27,0
342130,COVENANT LIVING OF KEENE,342130,COVENANT LIVING OF KEENE,95 Wyman Rd,Keene,NH,3431,"95 Wyman Rd Keene, NH 03431",42.967291,-72.335584,"$11,149","$15,793","($4,644)",-29.40%,"$38,862","$56,957","($18,095)",-31.77%,11,$187.31,14
293838,COVLIV CROMWELL RL/MORNINGSIDE,293838,COVLIV CROMWELL RL/MORNINGSIDE,52 Missionary Rd,Cromwell,CT,6416,"52 Missionary Rd Cromwell, CT 06416",41.600908,-72.662311,"$10,845","$7,749","$3,096",39.95%,"$40,318","$32,321","$7,998",24.74%,4,$501.97,0
295609,COVLIV CROMWELL/ASSITED LIVING,295609,COVLIV CROMWELL/ASSITED LIVING,52 Missionary Rd,Cromwell,CT,6416,"52 Missionary Rd Cromwell, CT 06416",41.600908,-72.662311,"$4,557","$4,055",$502,12.38%,"$19,222","$15,507","$3,716",23.96%,4,$358.42,0
295610,COVLIV CROMWELL/SKILLED NURS,295610,COVLIV CROMWELL/SKILLED NURS,52 Missionary Rd,Cromwell,CT,6416,"52 Missionary Rd Cromwell, CT 06416",41.600908,-72.662311,"$11,903","$10,389","$1,514",14.57%,"$45,627","$38,857","$6,770",17.42%,5,$525.37,0
288113,CROMWELL BOARD OF EDUCATION,443898,CROMWELL HIGH SCHOOL,34 Evergreen Rd,Cromwell,CT,6416,"34 Evergreen Rd Cromwell, CT 06416",41.61238,-72.65935,"$5,701","$3,311","$2,390",72.18%,"$23,643","$13,300","$10,343",77.77%,4,$135.02,0
288113,CROMWELL BOARD OF EDUCATION,443896,CROMWELL MIDDLE SCHOOL,6 Mann Memorial Dr,Cromwell,CT,6416,"6 Mann Memorial Dr Cromwell, CT 06416",41.629524,-72.655301,"$5,678","$4,564","$1,114",24.41%,"$22,698","$19,291","$3,407",17.66%,5,$224.42,0
287158,CROSSROADS COMMUNITY CATHEDRAL,287158,CROSSROADS COMMUNITY CATHEDRAL,1492 Silver Ln,East Hartford,CT,6118,"1492 Silver Ln East Hartford, CT 06118",41.766742,-72.578245,"$7,208",,"$7,208",,"$22,230",,"$22,230",,4,$236.86,0
288353,BOSTON PUBLIC SCHOOLS,458427,CURTIS GUILD ELEM,195 Leyden St,East Boston,MA,2128,"195 Leyden St East Boston, MA 02128",42.388459,-71.004223,$573,$583,($10),-1.67%,"$2,744","$3,130",($386),-12.35%,4,$51.93,3
331208,TRUMBULL BOARD OF EDUCATION -,471492,DANIELS FARM SCHOOL - CREC,710 Daniels Farm Rd,Trumbull,CT,6611,"710 Daniels Farm Rd Trumbull, CT 06611",41.269436,-73.198996,"$11,441","$5,059","$6,382",126.15%,"$41,260","$19,715","$21,545",109.28%,6,$202.48,9
288353,BOSTON PUBLIC SCHOOLS,458357,DANTE MONTESSORI ALIGHIERI,37 Gove St,East Boston,MA,2128,"37 Gove St East Boston, MA 02128",42.371421,-71.0377,$545,$410,$134,32.72%,"$2,688","$2,228",$460,20.66%,4,$53.64,3
251419,DANVILLE SCHOOL DISTRICT,251419,DANVILLE SCHOOL DISTRICT,148 Peacham Rd,Danville,VT,5828,"148 Peacham Rd Danville, VT 05828",44.410878,-72.143618,"$3,830","$2,258","$1,572",69.62%,"$7,792","$5,317","$2,476",46.57%,7,$182.96,6
282492,DARTMOUTH HITCHCOCK CLINIC,439616,DARTMOUTH HITCHCOCK CLINIC,208 Robinson Rd,Hudson,NH,3051,"208 Robinson Rd Hudson, NH 03051",42.817251,-71.412329,"$3,917","$2,150","$1,767",82.20%,"$7,959","$4,541","$3,418",75.26%,4,$212.33,18
288343,SPRINGFIELD PUBLIC SCHOOLS,483551,DEBERRY SWAN SCHOOL,680 Union St,Springfield,MA,1109,"680 Union St Springfield, MA 01109",42.108412,-72.566834,"$3,702",,"$3,702",,"$12,666",,"$12,666",,4,$233.78,10
288353,BOSTON PUBLIC SCHOOLS,458429,DENNIS HALEY,570 American Legion Hwy,Roslindale,MA,2131,"570 American Legion Hwy Roslindale, MA 02131",42.286759,-71.107647,"$1,509","$1,416",$93,6.59%,"$6,867","$6,487",$380,5.86%,4,$129.13,3
250674,DERRY FIRE DEPARTMENT,430555,DERRY FIRE DEPARTMENT-CENTRAL,131 E Broadway,Derry,NH,3038,"131 E Broadway Derry, NH 03038",42.891465,-71.312623,"$1,624","$1,527",$97,6.38%,"$5,937","$5,629",$309,5.48%,8,$67.72,18
250674,DERRY FIRE DEPARTMENT,430556,DERRY FIRE DEPARTMENT-ENGLISH,1 English Range Rd,Derry,NH,3038,"1 English Range Rd Derry, NH 03038",42.919042,-71.331681,$594,$532,$62,11.63%,"$2,095","$2,181",($86),-3.94%,4,$25.99,18
250674,DERRY FIRE DEPARTMENT,430557,DERRY FIRE DEPARTMENT-HAMPSTEA,74 Hampstead Rd,Derry,NH,3038,"74 Hampstead Rd Derry, NH 03038",42.895051,-71.287137,$885,$727,$158,21.72%,"$3,239","$2,659",$580,21.82%,7,$36.98,18
250674,DERRY FIRE DEPARTMENT,421055,DERRY FIRE DEPARTMENT-ISLAND,190 Warner Hill Rd,Derry,NH,3038,"190 Warner Hill Rd Derry, NH 03038",42.879937,-71.234086,$549,$748,($199),-26.62%,"$2,190","$2,628",($439),-16.69%,6,$31.74,18
288353,BOSTON PUBLIC SCHOOLS,458453,DONALD MCKAY K-8,122 Cottage St,East Boston,MA,2128,"122 Cottage St East Boston, MA 02128",42.369275,-71.034336,"$1,168",$940,$228,24.24%,"$5,658","$5,167",$491,9.50%,4,$61.07,3
